"CHURCH NUMBER","CHURCH NAME","ADDRESS","CITY","ZIPCODE","ISSUE DATE","EXPIRATION DATE","s_ColLineage","s_Generation","s_GUID","s_Lineage"
148,"ST. DIMITRIA MACEDONIAN ORTHODOX CHURCH (see #176)","234 TELEPHONE RD.","WEST HENRIETTA, NY",14586,,,,1,"{505214D5-589B-4E1D-9494-5D6BCC4390E0}",
171,"ST. MATTHEW'S MISSIONARY BAPTIST CHURCH","333 SIXTH STREET","ROCHESTER, NY",14605,2001-08-13 0:00:00,2003-08-13 0:00:00,,1,"{F31134A4-67C5-43C2-8839-ADCC4EA6461B}",
96,"ANNUNCIATION GREEK ORTHODOX CHURCH","962 EAST AVE.","ROCHESTER, NY",14607,2016-11-30 0:00:00,2018-11-30 0:00:00,,17944,"{B3908F2B-686E-49C0-B856-C41ED0393278}",
178,"THE EVANGELICAL LUTHERAN CHURCH","1549 DEWEY AVE.","ROCHESTER, NY",14615,2002-08-16 0:00:00,2004-08-16 0:00:00,,1,"{59A29B2F-26BB-4D6C-9C6F-8994BA1CA7FD}",
179,"PEARCE MEMORIAL CHURCH","4322 BUFFALO RD.","NORTH CHILI, NY",14514,2002-08-28 0:00:00,2004-08-28 0:00:00,,1,"{3D7FB16D-B284-460E-B22D-171B4BFA10F9}",
180,"NEW LIFE PRESBYTERIAN CHURCH","243 ROSEDALE STREET","ROCHESTER, NY",14620,2013-12-04 0:00:00,2015-12-04 0:00:00,,10690,"{565BD8F6-A56A-4321-835C-A6E84FA0C1B8}",
181,"CHURCH OF THE TRANSFIGURATION","50 WEST BLOOMFIELD RD.","PITTSFORD, NY",14534,2011-08-05 0:00:00,2013-08-05 0:00:00,,1,"{57EA7C3C-0BD7-486A-91FE-E6375E978634}",
124,"MENDON PRESBYTERIAN CHURCH","3886 RUSH-MENDON ROAD","MENDON, NY",14506,2003-02-04 0:00:00,2005-02-04 0:00:00,,1,"{832EC6E1-9F39-4AC5-852F-F81D2929D892}",
182,"VICTORY FELLOWSHIP CENTER, INC.","1018 LYELL  AVE.","ROCHESTER, NY",14606,2007-08-23 0:00:00,2009-08-23 0:00:00,,1,"{4F353DDE-4BD4-4E1D-B11C-DDF7E231B813}",
183,"ABUNDANT LIFE FAITH CENTER","427 JEFFERSON AVENUE","ROCHESTER, NY",14611,2014-12-19 0:00:00,2016-12-19 0:00:00,,15014,"{1AADE431-F4B0-49F2-9DAA-DFA3B234F4E2}",
184,"MOUNTAIN RISE UNITED CHURCH OF CHRIST","2 MOUNTAIN RISE","FAIRPORT, NY",14450,2016-10-26 0:00:00,2018-10-26 0:00:00,,17770,"{4DCAA354-8EC2-4525-88D8-3A9F0D309031}",
185,"NORTHFIELD CHURCH","507 THORNELL RD.","PITTSFORD, NY",14534,2015-12-02 0:00:00,2017-12-02 0:00:00,,17283,"{AFDD052F-75A4-4FAF-8F9E-DCB8A9366459}",
186,"CHRIST THE KING CHURCH","445 KINGS HIGHWAY SOUTH","ROCHESTER, NY",14617,2003-11-18 0:00:00,2005-11-18 0:00:00,,1,"{53570978-CEE5-413A-A1E9-2BF1235826B3}",
187,"IRONDEQUOIT PRESBYTERIAN CHURCH","2881 CULVER RD.","ROCHESTER, NY",14622,2015-01-21 0:00:00,2017-01-21 0:00:00,,15593,"{420CA256-8D84-4C73-A689-5B997148627B}",
33,"ST. JOHN'S EVANGELICAL LUTHERAN CHURCH","800 E. RIDGE RD.","ROCHESTER, NY",14621,2016-02-22 0:00:00,2018-02-22 0:00:00,,17597,"{5E8CCB3E-F146-45ED-9CE4-79292FDF48E7}",
172,"ST. PAUL'S CHURCH","783 HARD ROAD","WEBSTER, NY",14580,2017-09-25 0:00:00,2019-09-25 0:00:00,,0,"{141C1EA3-E31C-4107-AE7F-3419AB5A9961}",
173,"IMMANUEL, A CHRISTIAN COMMUNITY (SEE CHURCH #219)","815 PARK AVE.","ROCHESTER, NY",14607,2004-11-30 0:00:00,2006-11-30 0:00:00,,16452,"{67896D7F-A75F-4560-BE19-CB92CEBD27E2}",
174,"COMMUNITY LUTHERAN CHURCH CHRISTIAN COMMUNITY CTR.","942 JOSEPH AVE.","ROCHESTER, NY",14621,2002-02-26 0:00:00,2004-02-26 0:00:00,,1,"{0108197B-E4A1-4873-8A62-DE2F67FB4469}",
175,"THE BRIDE OF CHRIST CHURCH","654 N. GOODMAN ST.","ROCHESTER, NY",14609,2002-05-16 0:00:00,2004-05-31 0:00:00,,1,"{17CC8A2F-8E28-4122-AAFD-C2F75FB7B150}",
176,"""ST. DIMITRIA"" MACEDONIAN ORTHODOX CHURCH","235 TELEPHONE ROAD","W. HENRIETTA, NY",14586,2016-03-30 0:00:00,2018-03-30 0:00:00,,17634,"{D207FBBA-F51E-455E-AA60-1AE93C681F3E}",
188,"ISLAMIC CULTURE CENTER OF ROCHESTER","853 CULVER ROAD","ROCHESTER, NY",14609,2014-07-01 0:00:00,2016-07-01 0:00:00,,13795,"{E62F05F2-7442-4BA9-8EFF-D847D04CE465}",
