"ESTABLISHMENT TYPE","ESTABLISHMENT TYPE CODE","Field1","CAPACITY","CMAX","CMIN","CAPACITY RATE","FEE AMOUNT","LATE FEE AMOUNT","s_GUID"
"RESTAURANT","01","N","0-25",25.00,0.00,"R1",$170.00,$220.00,"{80396BDA-E57D-490F-86B1-EB0466D0046B}"
"RESTAURANT","01","N","26-50",50.00,26.00,"R2",$230.00,$280.00,"{EF6AB105-41CB-4C0A-8394-AADA7F90E27A}"
"RESTAURANT","01","N",">50",2000.00,51.00,"R3",$370.00,$420.00,"{03250AA4-EE25-4990-BD6A-F3BC4B9DD048}"
"SCHOOL","02","N",">50",2000.00,0.00,"S3",$370.00,$420.00,"{EA9A1BB5-BF2D-4AB0-819E-BB108AAED183}"
"BAKERY","03","N","0",2000.00,0.00,"B",$225.00,$275.00,"{B68656F6-FA55-414A-9F76-25B481A448EA}"
"INSTITUTION","04","X","0",2000.00,0.00,"I",$0.00,$0.00,"{FC85FB1D-CE85-426A-BBB7-4DB2330A52E3}"
"DELICATESSAN","05","N","0",2000.00,0.00,"D",$225.00,$275.00,"{E96EEC9D-6EF5-4739-B46D-A2180A2F9DBD}"
"INDUSTRIAL CAFÉ","06","N","0-25",25.00,0.00,"IC1",$170.00,$220.00,"{8FFC2D85-8F0A-44D6-8444-1AB8F9E0ED0B}"
"SENIOR CENTER","07","X","0",2000.00,0.00,"SH",$0.00,$0.00,"{E3C3E64B-52B1-443C-B239-18E81E15581C}"
"MOBILE","08","N","0",2000.00,0.00,"M",$225.00,$275.00,"{1452E15C-2253-4F4A-BDC6-E525CE9C9212}"
"CATERER","09","N","0",2000.00,0.00,"C",$225.00,$275.00,"{052B5FB7-AFF0-416A-A61F-186445B5314F}"
"INDUSTRIAL CAFÉ","06","N","26-50",50.00,26.00,"IC2",$230.00,$280.00,"{70DF6882-9E3C-4EF2-BF34-A5757C54298B}"
"INDUSTRIAL CAFÉ","06","N",">50",2000.00,51.00,"IC3",$370.00,$420.00,"{C4BD957E-DBB1-47E1-A2AB-00F516ADFE25}"
"RESTRICTED CATERER","09R","N","0",2000.00,0.00,"CR",$225.00,$275.00,"{70A8ADF7-5AF5-46B1-89E3-CD0A51A7F865}"
"ODD","10","X","0",2000.00,0.00,"X",$0.00,$0.00,"{6C648B77-FA6E-434C-93E6-AF3F020942D6}"
"ODD","14","X","0",2000.00,0.00,"X",$0.00,$0.00,"{5C8FCA18-FBBC-4E21-8B55-151B7AFDF149}"
"ODD","21","X","0",2000.00,0.00,"X",$0.00,$0.00,"{7196F43B-BDDA-44CA-9E56-84AABA7181D3}"
"STATE","S","X","0",2000.00,0.00,"X",$0.00,$0.00,"{77B6E945-27C5-4CED-A239-F58328946527}"
"COMMISSARY","08","N","0",2000.00,0.00,"COM",$225.00,$275.00,"{C486CA1B-4653-494A-8FDC-ADF18D2ED17C}"
"RESTAURANT","01","R","0-25",25.00,0.00,"RR1",$85.00,$110.00,"{2483A6D8-3ECA-4C85-A26B-1AFC52789391}"
"RESTAURANT","01","R","26-50",50.00,26.00,"RR2",$115.00,$165.00,"{FE2B6EBB-763E-44B7-88EC-7BB7612DA014}"
"RESTAURANT","01","R",">50",2000.00,51.00,"RR3",$185.00,$235.00,"{9621F531-FF0E-4738-8D9E-AA7573CACEA5}"
"SCHOOL","02","R",">50",2000.00,0.00,"RS3",$185.00,$235.00,"{6479D7B8-7A4D-48EE-84BE-4527EEAAC456}"
"BAKERY","03","R","0",2000.00,0.00,"RB",$112.50,$162.50,"{61A4358F-1846-47DD-87CD-B45EEC8DB245}"
"DELICATESSAN","05","R","0",2000.00,0.00,"RD",$112.50,$162.50,"{3B89EF46-C3A8-4EAA-9CAB-934CAE4D53FA}"
"INDUSTRIAL CAFÉ","06","R","0-25",25.00,0.00,"RIC1",$85.00,$110.00,"{827B102A-57D8-4E68-B83B-8C0E4191C234}"
"MOBILE","08","R","0",2000.00,0.00,"RM",$112.50,$162.50,"{8F021446-465E-4EEC-B8E2-85483D8C9C11}"
"CATERER","09","R","0",2000.00,0.00,"RRC",$112.50,$162.50,"{E5987A15-58E3-40A9-A6F7-FCED3FF164E1}"
"INDUSTRIAL CAFÉ","06","R","26-50",50.00,26.00,"RIC2",$115.00,$165.00,"{0D06E24D-1936-442E-AF14-95FD1F0E2562}"
"INDUSTRIAL CAFÉ","06","R",">50",2000.00,51.00,"RIC3",$185.00,$235.00,"{E6A039C8-C9C0-425D-9E3D-3910E3953AB5}"
"RESTRICTED CATERER","09R","R","0",2000.00,0.00,"RCR",$112.50,$162.50,"{1942712A-D35B-4E2B-A786-31FA761B402A}"
"COMMISSARY","08","R","0",2000.00,0.00,"RCOM",$112.50,$162.50,"{863B7B30-E20C-4A37-92A7-73A679493BED}"
"RESTAURANT","01","X",">50",2000.00,51.00,"XR3",$0.00,$0.00,"{2143AA18-19AD-432B-BE5D-2099FE79889C}"
"COMMISSARY","08","X","0",2000.00,0.00,"XCOM",$0.00,$0.00,"{DEFFAC24-A15B-4130-B434-7D8B85793928}"
"RESTAURANT","01","X","26-50",50.00,26.00,"XR2",$0.00,$0.00,"{E348C4A3-399B-4907-BAC4-A069945BB829}"
"SCHOOL","02","X",">50",2000.00,0.00,"XS3",$0.00,$0.00,"{B8345DEC-D4F7-4BE6-801C-3F05A6E3EF8F}"
"BAKERY","03","X","0",2000.00,0.00,"XB",$0.00,$0.00,"{CE88BF4B-E30E-4271-9266-A028DF6723D6}"
"DELICATESSAN","05","X","0",2000.00,0.00,"XD",$0.00,$0.00,"{D792D7E8-B89C-4761-8277-AB695C59F174}"
"RESTRICTED CATERER","09R","X","0",2000.00,0.00,"XCR",$0.00,$0.00,"{0A066916-8672-44C9-9EFA-DC37313A17BA}"
"MOBILE","08","X","0",2000.00,0.00,"XM",$0.00,$0.00,"{5C242A82-77E0-4EA7-AB69-5A84854F3AE3}"
"CATERER","09","X","0",2000.00,0.00,"XRC",$0.00,$0.00,"{43538ECA-FC7F-4D96-81F8-257047417B13}"
"INDUSTRIAL CAFÉ","06","X","26-50",50.00,26.00,"XIC2",$0.00,$0.00,"{11FAB430-DD1A-4BA5-AFA1-F76147384174}"
"INDUSTRIAL CAFÉ","06","X",">50",2000.00,51.00,"XIC3",$0.00,$0.00,"{A82A5709-73BA-435C-AD6B-04F7F87C5A93}"
"INDUSTRIAL CAFÉ","06","X","0-25",25.00,0.00,"XIC1",$0.00,$0.00,"{D3A8C591-7599-4EA3-A059-02166E93815A}"
"RESTAURANT","01","X","0-25",25.00,0.00,"XR1",$0.00,$0.00,"{A153D57E-3694-42B8-A236-1C1747722C91}"
"SCHOOL","02","X","0-25",25.00,0.00,"XS1",$0.00,$0.00,"{126A88D2-B098-44BA-9CA7-68D6A6D8493F}"
"SCHOOL","02","X","26-50",50.00,26.00,"XS2",$0.00,$0.00,"{314AB654-ED3D-4D16-ACA1-29743179A7D8}"
"SCHOOL","02","R","0-25",25.00,0.00,"RS1",$85.00,$110.00,"{3F0027A0-E14E-4C5B-8A76-0E8DBE1FB7B3}"
"SCHOOL","02","R","26-50",50.00,26.00,"RS2",$115.00,$165.00,"{85F76304-EB12-4998-BD1E-1D9E39F37214}"
"SCHOOL","02","N","0-25",25.00,0.00,"S1",$170.00,$220.00,"{967AE02E-594B-42F4-98F1-898551EE4E7A}"
"SCHOOL","02","N","26-50",50.00,26.00,"S2",$230.00,$280.00,"{0A738F88-DE94-43F1-BC7E-346F79936F84}"
"SOUP KITCHEN","00","X","0",2000.00,0.00,"XSK",$0.00,$0.00,"{9E59EF98-2DA6-4922-A088-CA8FC5B9FA0F}"
"INCUBATOR","11","N","0",2000.00,0.00,"INC",$75.00,$125.00,"{E070464A-A092-4FDB-91DC-B7476D57C61D}"
"INCUBATOR","11","R","0",2000.00,0.00,"RINC",$37.50,$87.50,"{E02C632B-01F6-45D3-BF12-FE7E1A11B1D5}"
"INCUBATOR","11","X","0",2000.00,0.00,"XINC",$0.00,$0.00,"{0D4AD6CA-487D-4AAF-BCEE-02868E044997}"
