"TYPE OF INSPECTION","TYPE CODE","EHIPS LINK","s_ColLineage","s_Generation","s_GUID","s_Lineage"
"INITIAL- ANNUAL",1,33,,1,"{F0911DAF-F905-4AEB-AF95-436851E1EC54}",
"1st REINSPECTION",3,,,1,"{EC2B9D19-EE0F-4309-BE07-380E2AEE717C}",
"2nd REINSPECTION",4,,,1,"{2F727257-AD6B-4558-BC51-F01E22B92820}",
"3rd REINSPECTION 3",5,,,1,"{5601CF2B-B217-45B6-8E58-9730FFC748F0}",
"FIELD CONFERENCE",7,4,,1,"{08144B91-7469-456F-9810-B646BEF5E386}",
"COMPLAINT",8,6,,1,"{B3E6866F-7BF2-40E4-A19F-4C78C3D3D20C}",
"PARTIAL INSPECTION",2,,,1,"{52286462-3199-4AA6-A1F5-043F2BD80D73}",
"2nd FULL",6,,,1,"{AE8B73C2-215C-44C7-8C0D-CEA62129EC94}",
"COMPLAINT\S.F.B.ILLNESS",9,13,,1,"{7D491389-AC65-492B-9992-5AB59C8EB3DF}",
"EMERGENCY(FIRE ETC)",10,,,1,"{BB6BF311-EEA2-4B7A-B5D3-5BC83EA87D8F}",
"SERVICE REQUEST",11,5,,1,"{8118C659-7714-4DB5-8596-D3563D458FB4}",
"HACCP",12,16,,1,"{4A63060B-9AC4-4493-BE17-D2DE4F0E83B5}",
"ENFORCEMENT ACTION",13,0,,1,"{CA107E03-3E0D-4053-AE45-7C6D1211570F}",
"FULL INSPECTION (NON INITIAL)",14,0,,1,"{8B4C50C9-7213-44B5-B4A0-2BA719E40957}",
"CERTIFICATION UPDATE",15,0,,1,"{426C135E-1EFA-4555-B20A-F621C48061F4}",
