"FAC.","FACILITY NAME","ACTIVITY TYPE","ACTIVITY DATE","S or U","STAFF INITIALS","NOTES","SERVIC_KEY","FAC KEY","FACILITY TYPE","DAYCARE RED VIOLATIONS","REINSPECTION DUE","s_GUID","s_ColLineage","s_Generation","s_Lineage"
"27DCC18","CARE A LOT CHILDCARE OF HEN.","2ND ANNUAL INSPECTION",2015-12-09 0:00:00,"S","ES",,1449865476,,"DAY CARE CENTER",0,,"{4EB39387-16B6-44C0-80B7-BBD64DC38AE5}",,1655,
"27dcc251","TLC ADVENTURES IN CHILD CARE","2ND ANNUAL INSPECTION",2015-12-14 0:00:00,"U","ES",,1450123868,,"DAY CARE CENTER",0,,"{3BBB61BD-2708-444A-BE3D-41A56B924636}",,1679,
"27dcc19","CARE-A-LOT CHILD CARE","1ST REINSPECTION",2015-12-14 0:00:00,"S","jg",,-714624467,,"DAY CARE CENTER",0,,"{58D0C7D0-3AC8-4D79-859B-926675FA325D}",,1655,
"27-8338","LOCUST GROVE MHP","1ST REINSPECTION",2015-11-25 0:00:00,"U","JG",,395231210,,"MOBILE HOME PARK",0,,"{A5F3E6E9-5EA3-4144-BF5C-9B219C92D83B}",,1655,
"27-0443","EDGEWOOD PARK ESTATES","1ST REINSPECTION",2015-11-25 0:00:00,"U","JG",,1292105763,,"MOBILE HOME PARK",0,,"{62687B75-95E3-494C-AF91-CD4D72FE31C5}",,1673,
"27-0064","COBBLESTONE CREEK ESTATES","1ST REINSPECTION",2015-11-25 0:00:00,"U","JG",,-1268641752,,"MOBILE HOME PARK",0,,"{505E4EFA-813B-4C16-9897-91248B69913E}",,1673,
"27-6067","WAYSIDE GARDENS FARMWORKER HOUSING","2ND REINSPECTION",2015-11-16 0:00:00,"U","JG",,297846537,,"MIGRANT HOUSING",0,,"{5ABA644E-55F7-4A4F-91BC-E6D630384470}",,1655,
"27dcc75","INSPIRE LEARNING & CHILDCARE- BUFFALO RD.","2ND ANNUAL INSPECTION",2015-12-15 0:00:00,"U","ES",,1450209569,,"DAY CARE CENTER",2,,"{C1E50E7F-5A9B-497A-A7FC-EAB522C24A3A}",,1655,
"27DCC266","IMAGINATION CHILD CARE ACADEMY INC.","1ST REINSPECTION",2015-12-15 0:00:00,"S","ES",,-1700296498,,"DAY CARE CENTER",0,,"{D056220E-F0E6-4BED-91FB-61A2A179F77F}",,1655,
"27dcc27","CHILD TIME/N. CHILI","2ND ANNUAL INSPECTION",2015-12-15 0:00:00,"U","ES",,1450210791,,"DAY CARE CENTER",0,,"{1B86E5CB-0A92-434A-B247-F97CB73081A3}",,1679,
