"FAC.","FACILITY_NAME","FACILITY_ADDRESS","CITY","FAC_ZIP","FAC_TYPE.","FAC_TYPE","ACTIVE","PHONE_NO","CITY_TOWN","OPERATOR_OWNER","OPERATOR_ADDRESS","OPERATOR_CITY","OPER_ZIP","EMAIL_1","EMAIL_2","EIN_SS.","CONTACT","OPER_PHONE","PERMIT FAC_TYPE","CAPACITY","SESSIONS","FEE","OPEN_DATE","CLOSE_DATE","APPL_DATE","WC/DB REC"D","PRESEASON","PRE_COMMENT","PERMIT","OPER_INSP","OPER_COMMENT","INSPR","OPER_REIN","OPER_REINCOMMENT","2ND_REIN","2ND_REINCOMMENT","PARTIAL_INSP","FEE PAID","DATE_PAID","HEARING_DATE","DOH-3965","DOH-367","DOH-2271","LDSS-3370","DSS ANS","MANUAL OK","MANUAL UPDATE","COMMENTS","Pre-Op Status","FIRST AID CERTIFICATIONS RECEIVED","LIFEGUARD/PSI CERTIFICATIONS","FOOD SERVICE","COUNSELOR TO CAMPER RATIO","EMAIL CONTACT","CAMP DIRECTOR","HEALTH DIRECTOR","AQUATICS DIRECTOR","CPR CERT","POOL OPERATOR","AQUATICS DIR REQUIRED","AQUATICS DIRECTOR CERTS","Reviewed By","APP SENT","OPERATION ID","AMUSEMENT DEVICES FORM","COVERED AMUSEMENT DEVICES","Gen_COMMENTS","s_GUID","Aen_COMMENTS","SAFETY PLAN DISABILITY ADN"
"27-0292","JEWISH COMMUNITY CENTER - CAMP SISOL","183 QUAKER MEETING HOUSE RD","HONEOYE FALLS, NY  14472",14472.00,16.00,"CHILDREN'S CAMP","Yes","585 - 624 - 3668","MENDON","JEWISH COMMUNITY CENTER","1200 EDGEWOOD AVENUE","ROCHESTER, N Y","14618",,,"312883139","DANIEL N. IRVING","5854612000","CHILDREN'S DAY CAMP",323.00,,$0.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Brownstein's Deli",0,"DIRVING@JCCROCHESTER.ORG",,,,0,"JCC","No",0,"ES",,,0,1,1,"{13F81412-76D4-4D66-A584-F288134B6C7C}",1362,0
"27-0292a","JEWISH COMMUNITY CENTER - SPORTS CAMP","1200 EDGEWOOD AVENUE","ROCHESTER, NY 14618",14618.00,16.00,"CHILDREN'S CAMP","Yes","585 - 624 - 3668","BRIGHTON","JEWISH COMMUNITY CENTER","1200 EDGEWOOD AVENUE","ROCHESTER, N Y","14618",,,"312883139","DANIEL N. IRVING","5854612000","CHILDREN'S DAY CAMP",15.00,,$0.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Brownstein's Deli",0,"DIRVING@JCCROCHESTER.ORG",,,,0,"JCC","No",0,"ES",,,0,0,,"{E8372935-481D-4FA4-831D-96D6FDD6D567}",,0
"27-0330","CREATIVE THEMES DAY CAMP","325 EAGLEHEAD ROAD","E. ROCHESTER, NY  14445",14445.00,16.00,"CHILDREN'S CAMP","Yes","585 - 385 - 6830","PERINTON","CREATIVE THEMES, INC.","P.O. BOX 127","PENFIELD, N Y","14526",,,"161225533","DENISE BELLAVIA","5855079754","CHILDREN'S DAY CAMP",250.00,,$200.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Prepares Food & BYOL",0,"ctdaycamp@cthemes.net",,,,0,"Creative Themes","Yes",0,"ES",,,0,1,1,"{B06C1E1A-A315-4BA7-A254-3B806FEB34A4}",1305,0
"27-0342","YMCA CAMP ARROWHEAD","20 ARROWHEAD ROAD","PITTSFORD, NY  14534",14534.00,16.00,"CHILDREN'S CAMP","Yes","5853413230","PITTSFORD","YMCA CAMP ARROWHEAD","20 ARROWHEAD ROAD","PITTSFORD, N Y","14534",,,"160743242","ERIN BERNS","5853834590","CHILDREN'S DAY CAMP",500.00,,$0.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"erinb@rochesterymca.org",,,,0,"YMCA","No",0,"ES",,,0,1,100,"{3F212766-16C2-4C53-B416-9AFDE0882BAD}",1228,0
"27-0494","ROCHESTER ROTARY SUNSHINE CAMP","809 FIVE POINTS ROAD","RUSH, NEW YORK  14543",14543.00,2.00,"CHILDREN'S CAMP","Yes","5855467435","RUSH","ROCHESTER ROTARY CHARITABLE TRUST","180 LINDEN OAKS DR. SUITE 200","ROCHESTER, NY","14625",,,"160778060","BRANDI KOCH","5855332080","OVERNIGHT CAMP - DEVELOPMENTALLY DISABLED",150.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Rotary",0,"Brandi@rochesterrotary.org",,,,0,"Rotary LM certified Aquatics Director","Yes",0,"LH",,,0,1,1,"{88797B43-5B2E-42A7-B677-713C29083AEE}",1308,0
"27-0951","COMMUNITY PLACE TRAVELING CAMP","950 Norton Street","ROCHESTER, NY  14621",14605.00,13.00,"CHILDREN'S CAMP","Yes","5854359347","ROCHESTER","COMMUNITY PLACE OF ROCHESTER, INC.","145 PARSELLS AVENUE","ROCHESTER, N Y","14609",,,"161602979","TARLON GIBSON","5852880021","CHILDREN'S TRAVELING DAY CAMP",140.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Foodlink",0,"RMOSLEY@COMMUNITYPLACE.ORG/TGIBSON@COMMUNITYPLACE.ORG",,,,0,,"No",0,"WS",,,0,0,1,"{1CBACD0B-2C3E-476A-A272-2C3E6CDE46C7}",1365,0
"27-0975","BADEN STREET SETTLEMENT- DAY CAMP","485 N CLINTON AVE","ROCHESTER, NY  14605",14605.00,13.00,"CHILDREN'S CAMP","Yes","5853174402","ROCHESTER","BADEN STREET SETTLEMENT","485 N CLINTON AVE","ROCHESTER, N Y","14605",,,"160743914","PAM QUICK","5853254910","CHILDREN'S DAY CAMP",100.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Foodlink",0,"pquick@badenstreet.org",,,,0,,"Yes",0,"WS",,,0,0,1,"{13584FB5-2015-4EE7-9E73-1610A71BA807}",1308,0
"27-1155","YMCA CAMP NORTHPOINT","249 NORTH GREECE RD.","HILTON, NY  14468",14468.00,16.00,"CHILDREN'S CAMP","Yes","5854351811","PARMA","NORTHWEST BRANCH YMCA","730 LONG POND ROAD","ROCHESTER, N Y","14612",,,"160743242","KYLE CHRISTIAN","5852273900","CHILDREN'S DAY CAMP",300.00,,$0.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"Kyle.Christian@RochesterYMCA.org",,,,0,"YMCA","No",0,"ES",,,0,1,1,"{15337E16-51DD-42AB-9318-2A463AD456C5}",1215,0
"27-1217","CAMP PIPERWOOD GIRL SCOUT CAMP","2222 TURK HILL ROAD","FAIRPORT, NY  14450",14450.00,16.00,"CHILDREN'S CAMP","Yes","7165379583","PERINTON","GIRL SCOUTS OF WESTERN NEW YORK, INC.","3332 WALDEN AVENUE, suite 106","DEPEW, NY","14043",,,"160743096","ROBERT L. MANN/JANET DEPETRILLO","7165379583","CHILDREN'S DAY CAMP",200.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"On-site",0,"BOB.MANN@GSWNY.ORG/JANET.DEPETRILLO@GSWNY.ORG",,,,0,"No Swimming","No",0,"WS",,,0,1,1,"{685479E4-29EF-4DC4-8F3B-FDAE83309026}",1244,0
"27-1231","CAMP SMILE","SHANGRI LA LANE","WEBSTER, NY  14580",14580.00,12.00,"CHILDREN'S CAMP","Yes","5852608810","WEBSTER","CAMP SMILE, INC.","581 BEACH AVENUE","ROCHESTER, N Y","14612",,,"xxxxxxxxx","JANE LYTH",,"CHILDREN'S DAY CAMP",50.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Use Kitchen on-site",0,"janelyth1951@gmail.com",,,,0,"Webster Aquatics","No",0,"WS",,,0,0,1,"{8CB3117B-BF9C-4EEB-8A69-228B6FF3E6D2}",1301,0
