"FAC.","OPERATION ID","FACILITY_NAME","FACILITY_ADDRESS","FAC_CITY","FAC_ZIP","ACTIVE","OPERATOR_OWNER","PHONE","OPER_ADDRESS","OPER_CITY","OPER_ZIP","CONTACT","EMAIL_1","EMAIL_2","FAC_TYPE","FOOD SERVICE DESCRIPTION","FOOD SERVICE ESTAB","CATERED","BUILDING AGE","LEAD PROGRAM REF DATE","LEAD INSP DATE","LEAD INSPECTION RESULTS","LEAD CLEARANCE DATE","COMMENTS","ANNUAL INSP","ANNUAL S/U","INSPECTOR","1ST REINSP","1ST REINSP S/U","PARTIAL INSP","CAPACITY","PROFIT","FEE","FEE CODE","COMPLAINT_DATE","DATE_ABATED","SERVICE","DATE_TO_BUS","INVOICE DATE","INVOICE .","MCHDNUMBER","OP_KEY","CAT","SUBCAT","STATUS","PHONENO","PRIMARYOP","Customer acct no","2ND REINSP","2ND REINSP S/U","3RD REINSP","3RD REINSP S/U","FOOD PLAN RECEIPT DATE","FOOD PLAN APPROVAL DATE","FOOD PLAN CORRECTIVE ACTIONS","INSPECTOR CONTACT","2ND ANNUAL INSP","2ND ANNUAL S/U","PRE OP INSPECTION","PRE OP S/U","PART 14-1 PERMIT","s_GUID","ACTIVATION DATE","DEACTIVATION DATE","OPERATOR PHONE","TimeUpdated","Gen_COMMENTS","Gen_FOOD PLAN CORRECTIVE ACTIONS","Gen_FOOD SERVICE DESCRIPTION","s_ColLineage","s_Generation","s_Lineage"
"27DCC53","908533","GENERATIONS #2/STENSON","179 STENSON ST.","ROCHESTER, NY","14606","Yes","GENERATIONS CHILD CARE INC.","254-8160","1491 MONROE AVE","ROCHESTER, NEW YORK","14618","JAVIER MURILLO","jeanie.harris@generations-care.com,lyn.ewell@generations-care.com",,"DAY CARE CENTER","Foodlink for lunch. 
B-oatmeal, muffin, eng. Muffin, bagel cream cheese, waffle, french toast sticks, scrambled eggs, pancake, milk.
S-muffin, milk, bagel, waffle, pretzel, yogurt, fruit salad, water, trail mix, animal crackers, wheat thins, goldfish,","MEDIUM","Yes",,,1995-10-25 0:00:00,"NO PB HAZARDS",,"No hot water.PR


One reading on a wall was 1.0.",2017-10-24 0:00:00,"S","EC",2015-11-09 0:00:00,"S",,134.00,1,$250.00,"DCC4",,,,2014-02-21 0:00:00,,,53,0,,,,,,,,,,,,,,,,,,,,"{55E23287-FEDF-46E1-80D4-E56DE4C9D6CD}",,,,,0,1523,1523,,0,
"27DCC54","908537","GENERATIONS/ST. JOHN'S","170 HIGHLAND AVENUE","ROCHESTER, NY","14620","Yes","GENERATION CHILD CARE, INC.","697-0499","170 HIGHLAND AVENUE","ROCHESTER, NEW YORK","14620","JEANIE HARRIS","Jeanie.harris@generations-care.com","Amy.sturn@generations-care.com","DAY CARE CENTER","7/20/2015 - Lunch catered by St John's Home.
Breakfast - Day care makes breakfast.  Fresh whole eggs on site, cereral and a lot of fresh fruit.","MEDIUM","Yes","PRE-1978",,2009-08-18 0:00:00,"PB HAZARDS",2009-09-30 0:00:00,"Amy Sturn - Day Care Director. 697-0499

7/20/2015 - Facility needs to install handwashing sink in kitchen and put an indirect drain on sink used for food prep that currently has a garbage grinder.  Facility does not obtain pre-washed fruits.  Mud was on melon during inspection and cook stated they wash everything even if it was pre-washed. LH",2018-01-09 0:00:00,"S","EC",2015-09-08 0:00:00,"S",,134.00,1,$250.00,"DCC4",,,,2014-02-21 0:00:00,,,54,0,,,,,,,2015-09-24 0:00:00,"U",,,,,,,,,,,,"{4A6D3A65-92CD-408B-BCC2-B82A91A646B4}",,,,,0,1523,1523,,0,
"27DCC170","908154","CARING AND SHARING","90 WEBSTER AVE.","ROCHESTER, NY","14609","Yes","KIMBERLY ROBERSON","482-8170","90 WEBSTER AVENUE","ROCHESTER, NEW YORK","14609","KIMBERLY ROBERSON","kimberlyroberson@aol.com",,"DAY CARE CENTER","Breakfast- Milk, fruit, cereal, waffles, toast
Lunch- Milk, Bologna, Mac & Cheese, BBQ  chicken, Turkey salad,Fish sticks, tater tots, fruit & veggies, elbow noodles, rice
PM snack- Milk, crackers, cookies, chex mix, carrots","MEDIUM","No","PRE-1978",,,,,"No lead info. In DCC file.",2017-10-12 0:00:00,"S","EC",2014-12-17 0:00:00,"S",,90.00,1,$175.00,"DCC3",,,,2014-06-02 0:00:00,,,573,0,,,,,,,,,,,,,,,2014-10-07 0:00:00,"U",,,,"{F04B02DC-6702-4AD2-8CBC-D74D86FD7A97}",,,,,0,1523,1523,,0,
"27DCC59","908540","HEADSTART - HUDSON","1150 HUDSON AVE.","ROCHESTER, NY","14621","Yes","JANNIE HILL","467-1472","1150 HUDSON AVENUE","ROCHESTER, NEW YORK","14621","JANNIE HILL","asill@abcinfo.org","arosado@abcinfo.org","DAY CARE CENTER","Cook and Serve - no cooling and reheating. 
Breakfast- Juice, fruit, cereal, waffles, muffin, milk, english muffin, french toast, biscuit, bagel, pancakes
Lunch- Grilled chicken breast, meatball sub, roasted turkey breast, tossed salad, mashed potatoes, veggies, cheeseburger, lemon chicken breast, mac & cheese, homemade cheese pizza, beef fajita strips, fruit, pasta w/meatballs, mediterranean chicken wrap, tuna boats, diced chicken salad sand., fish patty, salisbury steak, chicken nuggets, BBQ chicken breast, hamburger sliders, turkey hoagie, sloppy joe, chicken strip and broccoli alfredo, ground beef taco
Snack-  scooby snacks, saltines w/cheese, animal crackers, cheese stick, toasted cinnamon pita wedges, pretzel goldfish, graham crackers, nut-free tail mix, vanilla wafers, townhouse crackers, fruit bar","MEDIUM","No","PRE-1978",,2008-01-28 0:00:00,"PB HAZARDS",,"DOES NOT OPERATE IN SUMMER

9/9/2015 - Facility lacks 3 Bay sink.LH
11/5/2015 - 3 Bay sink installed, indirect drain on 3rd basin.  Risk changed to Medium.  Food manager stated food is cooked and served, no cooling and reheating. LH

Operator requests a variance for the separate fruit/vegetable prep sink. The third bay of the three bay sink will require an indirect drain. GR",2018-01-18 0:00:00,"S","EC",2015-10-07 0:00:00,"U",,204.00,0,$165.00,"DCC10",,,,2014-04-16 0:00:00,,,59,0,,,,,,,2015-11-05 0:00:00,"S",,,,,,,2014-10-28 0:00:00,"S",,,,"{DB5B21A0-A769-4E93-93C0-0AB5620E3831}",,,,,0,1523,1618,,0,
"27DCC60","908542","HEADSTART - JEFFERSON AVE.","640 JEFFERSON AVENUE","ROCHESTER, NY","14611","Yes","ABC HEADSTART","436-0362","640 JEFFERSON AVENUE","ROCHESTER, NEW YORK","14608","JANNIE HILL","jhill@abcinfo.org",,"DAY CARE CENTER","Breakfast- Juice, fruit, cereal, waffles, muffin, milk, english muffin, french toast, biscuit, bagel, pancakes
Lunch- Grilled chicken breast, meatball sub, roasted turkey breast, tossed salad, mashed potatoes, veggies, cheeseburger, lemon chicken breast, mac & cheese, homemade cheese pizza, beef fajita strips, fruit, pasta w/meatballs, mediterranean chicken wrap, tuna boats, diced chicken salad sand., fish patty, salisbury steak, chicken nuggets, BBQ chicken breast, hamburger sliders, turkey hoagie, sloppy joe, chicken strip and broccoli alfredo, ground beef taco
Snack-  scooby snacks, saltines w/cheese, animal crackers, cheese stick, toasted cinnamon pita wedges, pretzel goldfish, graham crackers, nut-free tail mix, vanilla wafers, townhouse crackers, fruit bar","MEDIUM","No","PRE-1978",,,,,"No lead info. In the DCC file.",2018-01-04 0:00:00,"S","EC",,,,79.00,0,$125.00,"DCC8",,,,2013-04-02 0:00:00,,,60,0,,,,,,,,,,,,,,,2014-12-04 0:00:00,"S",,,,"{339899DD-9045-4B22-B04D-F900738AEF50}",,,,,0,1523,1523,,0,
"27DCC61","908544","HEADSTART CHILD DEV. CENTER","700 NORTH STREET","ROCHESTER, NY","14605","Yes","JOAN FAVATA","454-2332","700 NORTH STREET","ROCHESTER, NEW YORK","14605","JOAN FAVATA",,,"DAY CARE CENTER","Sarkis","MEDIUM","Yes","PRE-1978",,2011-02-24 0:00:00,"NO PB HAZARDS",,"2/1//13- Operator requests a variance for the separate fruit/vegetable prep sink. A third sink bay must be installed, and an indirect drain must be installed on the third bay of the sink. GR


",2018-01-25 0:00:00,"S","EC",2015-11-24 0:00:00,"U",,64.00,0,$87.50,"DCC8",,,,2014-02-21 0:00:00,,,61,0,,,,,,,2016-04-07 0:00:00,"U",2013-05-21 0:00:00,"S",,,,,,,,,,"{D427ACB4-07CB-4B76-A067-A70C1FC41984}",,,,,0,1523,1523,,0,
"27DCC3","908770","INSPIRE LEARNING AND CHILD CARE/GREENLEAF","500 GREENLEAF ROAD","ROCHESTER, NY","14612","No","JOANNE HALLORAN","865-6160","500 GREENLEAF ROAD","ROCHESTER, NEW YORK","14612","JOANNE HALLORAN",,,"DAY CARE CENTER","Catered from Sarkis, all pre washed fruits and vegetables from Sarkis. ES 11/16/2015","MEDIUM","Yes",,,,,,"No lead inspection in DCC file.

Facility has 3 sinks with an additional hand wash sink in the kitchen. ES

Deactivated 10/25/2016, facility is closed .ES",2016-04-11 0:00:00,"U","ES",2016-08-09 0:00:00,"S",2012-02-28 0:00:00,63.00,1,$175.00,"DCC3",,,,2014-02-21 0:00:00,,,3,0,,,,,,,2016-03-24 0:00:00,"U",,,,,,"Earl Stich",,,,,,"{1FDE22C0-60D6-4402-A0C8-28ECB94159BD}",,2016-10-25 0:00:00,,,1715,1523,1635,,1715,
"27DCC220","909601","TWO DOORS COMMUNITY RESOURCE CENTER","2984 DEWEY AVE.","ROCHESTER, NY","14616","No","CAROL TEGAS, TREASURER","663-8936","2984 DEWEY AVE","ROCHESTER, NEW YORK","14616","BRENDA SPRATT",,,"DAY CARE CENTER","Pre-packaged snack only.","LOW","No",,,,,,"10/15/2015 Day Care is closed.  Day care will be deactivated. ES


5/9/2013 -Invoice was returned as undeliverable to a P.O. Box number.  TC to Daycare, Mary Gardner is the new director.  Invoice sent to Dewey Ave Address.  LH",2014-03-10 0:00:00,"S","ES",,,,46.00,0,$65.00,"DCC7",,,,2014-04-16 0:00:00,,,2310393,,,,,,,,,,,,,,,,,,,,,"{7AEE36FC-DC20-4D4C-A1E7-4E08300DC175}",,2015-10-15 0:00:00,,,1564,1523,1523,,1564,
"27DCC5","908103","ALVEN WESLEY CHLD DEV.","500 NORTH CLINTON AVE.","ROCHESTER, NY","14605","Yes","BADEN STREET CENTER","232-4330","152 BADEN STREET","ROCHESTER, NEW YORK","14605","KIMBERLY BARNES-ELLIS","crobinson@badenstreet.org,kbellis@badenstreet.org","","DAY CARE CENTER","B-french toast stick, cereal, bagel w/ cream cheese, pancakes, boiled eggs, oatmeal, waffle, hash brown, milk, fruit.
L-chix parm. w/ spaghetti, grilled cheese, salisbury steak, roast turkey w/ gravy, baked fish, beef chili, pepp. Pizza, sloppy joe w/ ground turkey, BBQ chix, goulash, veg., milk.
S-water, bread stick, trail mix, yogurt, goldfish, cube cheese, pretzel, pudding, toast, juice, bagel chips, deviled eggs.","MEDIUM","No","POST-1978",,,,,,2017-05-22 0:00:00,"U","jg",2015-11-04 0:00:00,"S",,151.00,0,$165.00,"DCC10",,,,2013-01-07 0:00:00,,,5,0,,,,,,,,,,,,,,,2014-11-13 0:00:00,"U",,,,"{B6828976-69C5-4D1A-90DA-720642405851}",,,,,1715,1523,1523,,1715,
"27DCC84",,"LAKESIDE CHILD CARE CENTER","156 WEST AVENUE","BROCKPORT, NY","14420","No","NICOLE STRUBLE","637-2930","156 WEST AVENUE","BROCKPORT, NEW YORK","14420","NICOLE STRUBLE",,,"DAY CARE CENTER",,,,,,,,,,,,"PR",,,2011-02-09 0:00:00,106.00,0,$125.00,"DCC9",,,,,,,84,0,,,,,,,,,,,,,,,,,,,,"{4D6C285C-2870-4901-82D8-77FDB90A614B}",,,,,1523,1523,1523,,1523,
