"FACILITY TYPE","CAPACITY","FEE CODE","FEE","ADDITIONAL FEE","s_ColLineage","s_Generation","s_GUID","s_Lineage"
"MOBILE HOME PK","base + fee per site","MPH1",$315.00,$2.10,,1,"{A43D908A-EB05-4D97-9FDA-626B32EC1B35}",
"MOBILE HOME PK","ALL","MPH1",$315.00,$2.10,,1,"{BCEF9120-0C7E-4C1A-A3E6-CBC92F891CA1}",
"DAY CARE","0-25","DCC1",$90.00,$0.00,,1,"{179BE91F-EEA5-41F0-8675-B42EAF650550}",
"DAY CARE","26-50","DCC2",$130.00,$0.00,,1,"{E497CBD2-C9CE-4BBA-9F65-C62D4B6BA58B}",
"DAY CARE","51-100","DCC3",$175.00,$0.00,,1,"{4051092B-989D-4CDC-B316-ABC839727BE3}",
"DAY CARE","101-150","DCC4",$250.00,$0.00,,1,"{10EDBFF9-38FA-4BC4-904D-B8195750DC6D}",
"DAY CARE","151 PLUS","DCC5",$330.00,$0.00,,1,"{A3D61790-343F-4BCA-BA15-4C2344815799}",
"NURSERY SCHOOL","ALL","NS",$90.00,$0.00,,1,"{B1D947E2-9A95-4760-998A-BED76466D3E9}",
"MOTELS & HOTELS","5-9","TR1",$170.00,$0.00,,1,"{FD6B71BF-5877-44F7-BEBB-E731B88D51DF}",
"MOTELS & HOTELS","10-20","TR2",$225.00,$0.00,,1,"{031827C0-C778-44F7-946C-303DCD664C33}",
"MOTELS & HOTELS","21-50","TR3",$280.00,$0.00,,1,"{E289CC2A-F3D3-4F3E-9D20-401ABB860915}",
"MOTELS & HOTELS","51-100","TR4",$390.00,$0.00,,1,"{5986D2B4-F614-4595-8F5F-D5016A4B6D97}",
"MOTELS & HOTELS","101 PLUS","TR5",$560.00,$0.00,,1,"{20EBAE0F-1BE1-4017-BAB0-B91BCE2D8A41}",
"MOTELS & HOTELS","PLAN REVIEW","TR6",$275.00,$0.00,,1,"{CFDB9331-D909-4FC1-B6BE-EFF84121E91B}",
"MIGRANT HOUSING","0-14","MLC1",$52.00,$0.00,,1,"{EEC90D9D-4347-4DC6-BB67-7778B2125E61}",
"MIGRANT HOUSING","15-30","MLC2",$115.00,$0.00,,1,"{A2EDFBB5-24D6-473C-B40A-05D7D0875370}",
"MIGRANT HOUSING","31-50","MLC3",$160.00,$0.00,,1,"{5CE92C3A-06E9-498D-A93D-5CEB801BE638}",
"MIGRANT HOUSING","51 PLUS","MLC4",$220.00,$0.00,,1,"{A177848C-F432-4120-A764-9DD814999D8B}",
"MOBILE HOME PK","PLAN REVIEW","MHP2",$168.00,$0.00,,1,"{8BC73061-C2BF-41B3-9667-1669993F64E3}",
"CAMPSITES","1-49","CS1",$140.00,$0.00,,1,"{D2ABB22F-79B5-475A-9A4D-2D60B32497B9}",
"CAMPSITES","50 PLUS","CS2",$275.00,$0.00,,1,"{7C2EB482-4CF7-44DD-8B39-80DB29195E39}",
"DAY CARE NP","0-25","DCC6",$45.00,$0.00,,1,"{1F8C4FB2-457B-40E4-A273-62C224ACC84D}",
"DAY CARE NP","26-50","DCC7",$65.00,$0.00,,1,"{CDEB9807-DC34-4A76-92EB-0BC5B16A5A64}",
"DAY CARE NP","51-100","DCC8",$87.50,$0.00,,1,"{A7E0A52D-5932-48A3-8DC3-8532139E453E}",
"DAY CARE NP","101-150","DCC9",$125.00,$0.00,,1,"{0945EE2D-4D70-417B-AEE0-F44B0443D9D5}",
"DAY CARE NP","151 PLUS","DCC10",$165.00,$0.00,,1,"{76C668B9-205D-404F-8689-9BDC31D87A2C}",
